pitStopId,raceId,driverId,stop,lap,time,duration,milliseconds
10,860,18,1,16,17:28:30,23.275,23275
13,860,1,1,17,17:30:12,22.862,22862
27,860,18,2,36,17:59:44,22.837,22837
28,860,1,2,36,17:59:54,23.464,23464
